"src","target","type","id","rank"
"High Evolutionary","Rocket","relationship","High Evolutionary","5320233080290484685"
"High Evolutionary","lives of Rocket and his fellow subject friends","relationship","High Evolutionary","8913454044067807346"
"High Evolutionary","High Evolutionary","relationship","High Evolutionary","2505269781584188510"
"the third film","the third film","relationship","the third film","308427091021888660"
"official trailer","In the Meantime  by Spacehog","relationship","official trailer","5273030728856961245"
"Krugarr","Krugarr","relationship","Krugarr","-5558863745541270159"
"Gunn chose to mainly use practical effects for Vol. 3","Gunn chose to mainly use practical effects for Vol. 3","relationship","Gunn chose to mainly use practical effects for Vol. 3","-3763534924201786867"
"Vox","it was  the best Marvel movie in years","relationship","Vox","2483202927377345614"
"Gunn a  Not a Number Award","Gunn a  Not a Number Award","relationship","Gunn a  Not a Number Award","-216058505033208721"
"Guardians of the Galaxy films","Guardians of the Galaxy films","relationship","Guardians of the Galaxy films","6854565732705313314"
"Guardians of the Galaxy films","Guardians of the Galaxy films","relationship","Guardians of the Galaxy films","6854565732705313314"
"Guardians of the Galaxy films","Guardians of the Galaxy films","relationship","Guardians of the Galaxy films","6854565732705313314"
"Guardians of the Galaxy Vol. 3 an average grade of  A","Guardians of the Galaxy Vol. 3 an average grade of  A","relationship","Guardians of the Galaxy Vol. 3 an average grade of  A","-216058505033208721"
"third film would be for sure","third film would be for sure","relationship","third film would be for sure","-3763534924201786867"
"the film for concluding Rocket's arc story","the film for concluding Rocket's arc story","relationship","the film for concluding Rocket's arc story","807807822724540300"
"Guardians of the Galaxy Vol. 3","Dolby Theatre","relationship","Guardians of the Galaxy Vol. 3","-8904712200894705795"
"Guardians of the Galaxy Vol. 3","approval rating of 82% on Rotten Tomatoes","relationship","Guardians of the Galaxy Vol. 3","-7942391498962018755"
"Guardians of the Galaxy Vol. 3","weighted average score of 64 on Metacritic","relationship","Guardians of the Galaxy Vol. 3","-7942391498962018755"
"Guardians of the Galaxy Vol. 3","weighted average score of 64 out of 100","relationship","Guardians of the Galaxy Vol. 3","-7942391498962018755"
"Guardians of the Galaxy Vol. 3","Avengers: Infinity War and Avengers: Endgame","relationship","Guardians of the Galaxy Vol. 3","-7371789353705096193"
"Guardians of the Galaxy Vol. 3","Avengers: Endgame","relationship","Guardians of the Galaxy Vol. 3","-6398259123215787415"
"Guardians of the Galaxy Vol. 3","Avengers: Infinity War","relationship","Guardians of the Galaxy Vol. 3","-6398259123215787415"
"Guardians of the Galaxy Vol. 3","James Gunn","relationship","Guardians of the Galaxy Vol. 3","-6375653954199588090"
"Guardians of the Galaxy Vol. 3","the top spot at the box office","relationship","Guardians of the Galaxy Vol. 3","-5977560471990033630"
"Guardians of the Galaxy Vol. 3","digital download","relationship","Guardians of the Galaxy Vol. 3","-5755255926984396480"
"Guardians of the Galaxy Vol. 3","United Kingdom","relationship","Guardians of the Galaxy Vol. 3","-4876075496862519154"
"Guardians of the Galaxy Vol. 3","United States","relationship","Guardians of the Galaxy Vol. 3","-4876075496862519154"
"Guardians of the Galaxy Vol. 3","32nd film in the Marvel Cinematic Universe","relationship","Guardians of the Galaxy Vol. 3","-2200251906687968932"
"Guardians of the Galaxy Vol. 3","American superhero film","relationship","Guardians of the Galaxy Vol. 3","-2200251906687968932"
"Guardians of the Galaxy Vol. 3","the box office","relationship","Guardians of the Galaxy Vol. 3","-1604180561527427412"
"Guardians of the Galaxy Vol. 3","United States on May 5","relationship","Guardians of the Galaxy Vol. 3","-1264068030493870990"
"Guardians of the Galaxy Vol. 3","Fast X","relationship","Guardians of the Galaxy Vol. 3","-751520190403419387"
"Guardians of the Galaxy Vol. 3","$110 million","relationship","Guardians of the Galaxy Vol. 3","190043486570436025"
"Guardians of the Galaxy Vol. 3","$168.1 million in its opening weekend","relationship","Guardians of the Galaxy Vol. 3","190043486570436025"
"Guardians of the Galaxy Vol. 3","$168.1 million in its opening weekend outside the US and Canada","relationship","Guardians of the Galaxy Vol. 3","190043486570436025"
"Guardians of the Galaxy Vol. 3","$358.8 million in the United States and Canada","relationship","Guardians of the Galaxy Vol. 3","190043486570436025"
"Guardians of the Galaxy Vol. 3","$92 million in its second weekend outside the US and Canada","relationship","Guardians of the Galaxy Vol. 3","190043486570436025"
"Guardians of the Galaxy Vol. 3","Walt Disney Studios Motion Pictures","relationship","Guardians of the Galaxy Vol. 3","1102408125332951166"
"Guardians of the Galaxy Vol. 3","Marvel Studios","relationship","Guardians of the Galaxy Vol. 3","3078240662641155798"
"Guardians of the Galaxy Vol. 3","approval rating of 82%","relationship","Guardians of the Galaxy Vol. 3","4367253990667738108"
"Guardians of the Galaxy Vol. 3","best second-weekend hold of any sequel in the Marvel Cinematic Universe","relationship","Guardians of the Galaxy Vol. 3","4367253990667738108"
"Guardians of the Galaxy Vol. 3","Disneyland Paris","relationship","Guardians of the Galaxy Vol. 3","6136581012815034436"
"Guardians of the Galaxy Vol. 3","Phase Five of the MCU","relationship","Guardians of the Galaxy Vol. 3","6854565732705313314"
"Guardians of the Galaxy Vol. 3","Marvel Comics superhero team Guardians of the Galaxy","relationship","Guardians of the Galaxy Vol. 3","7704090507390192963"
"Guardians of the Galaxy Vol. 3","$32 million in its third weekend","relationship","Guardians of the Galaxy Vol. 3","7897104218976094346"
"Guardians of the Galaxy Vol. 3","$48.2 million on its first day","relationship","Guardians of the Galaxy Vol. 3","7897104218976094346"
"Guardians of the Galaxy Vol. 3","Guardians of the Galaxy (2014) and Guardians of the Galaxy Vol. 2 (2017)","relationship","Guardians of the Galaxy Vol. 3","8969287095640992178"
"Guardians films","a whole","relationship","Guardians films","-2181434939176417591"
"the part","the part","relationship","the part","-7739115392796124987"
"Guardians cast members","support for Gunn","relationship","Guardians cast members","4631568688810959186"
"She","Gunn's  strongest work yet","relationship","She","2681292378866192172"
"Guardians","the Bowie","relationship","Guardians","-7724004975449335461"
"Guardians","Orgocorp's headquarters","relationship","Guardians","-3517867964483245352"
"Guardians","Rocket's wounds","relationship","Guardians","6901670256839583970"
"Guardians","Guardians","relationship","Guardians","1051457163903185543"
"Guardians","Guardians","relationship","Guardians","1051457163903185543"
"Guardians","Guardians","relationship","Guardians","2958289302964327686"
"Guardians","Guardians","relationship","Guardians","4727830256399241917"
"Guardians","Guardians","relationship","Guardians","8491158936130421937"
"Island of Lost Souls","Island of Lost Souls","relationship","Island of Lost Souls","8475170177057705908"
"Groot","Groot","relationship","Groot","-2200251906687968932"
"United Kingdom","United Kingdom","relationship","United Kingdom","-4876075496862519154"
"Gridlemop","Gridlemop","relationship","Gridlemop","7875397649195424367"
"other Guardians","other Guardians","relationship","other Guardians","-8402679353835513446"
"Greg D'Auria","the Holiday Special","relationship","Greg D'Auria","1846897805811217850"
"Grant Hermanns","the trailer gave  a deeper look  at the film","relationship","Grant Hermanns","2681292378866192172"
"Goldthwait","opinion pieces","relationship","Goldthwait","-9066970770184109485"
"Mike Cernovich","old tweets","relationship","Mike Cernovich","8034453526850302190"
"Gunn's direction and writing","Gunn's direction and writing","relationship","Gunn's direction and writing","807807822724540300"
"Gillan","she was returning for the sequel","relationship","Gillan","-4999792123346840014"
"Gillan","the sequel","relationship","Gillan","-2429264415420414968"
"Gillan","continue playing Nebula after Vol. 3","relationship","Gillan","5693902546385781181"
"the trailer gave  a deeper look  at the film","the trailer gave  a deeper look  at the film","relationship","the trailer gave  a deeper look  at the film","2681292378866192172"
"Gamora's fate would depend on the plans that Marvel and Gunn have for Vol. 3","Gamora's fate would depend on the plans that Marvel and Gunn have for Vol. 3","relationship","Gamora's fate would depend on the plans that Marvel and Gunn have for Vol. 3","-3763534924201786867"
"Gamora's adoptive sister","Gamora's adoptive sister","relationship","Gamora's adoptive sister","-2200251906687968932"
"Gamora","Thanos","relationship","Gamora","-7587760144184526878"
"Gamora","the Ravagers","relationship","Gamora","-6208389823079398512"
"Gamora","to the present","relationship","Gamora","-4379618974703678308"
"Gamora","the most lethal woman in the galaxy","relationship","Gamora","1090335545825788293"
"Gamora","Adam and the High Evolutionary's guard War Pig","relationship","Gamora","2871852095371571248"
"Gamora","Endgame","relationship","Gamora","7656228261960373258"
"Gamora","Gamora","relationship","Gamora","-4695726287958947734"
"Gamora","Gamora","relationship","Gamora","-2359832575237925031"
"Galaxy","Adam","relationship","Galaxy","8063141223647143673"
"Galaxy","Marvel characters","relationship","Galaxy","8482298369274885970"
"Gunn's  strongest work yet","Gunn's  strongest work yet","relationship","Gunn's  strongest work yet","2681292378866192172"
"Forbes","the firing","relationship","Forbes","5198294677919009854"
"Film","heavier  story","relationship","Film","-6446684303911726640"
"Film","2023 release date","relationship","Film","-4889663057095868259"
"Film","in late 2021","relationship","Film","223862384192939492"
"Film","The Suicide Squad and Peacemaker","relationship","Film","6578553048104588796"
"Film","emotional","relationship","Film","8966364415519733265"
"Fast X","Fast X","relationship","Fast X","-751520190403419387"
"The film","character arc","relationship","The film","5821892826948945498"
"Fans","online petition asking for Gunn to be reinstated","relationship","Fans","1597458322555691968"
"Endgame","Endgame","relationship","Endgame","7656228261960373258"
"Since You Been Gone  by Rainbow","Since You Been Gone  by Rainbow","relationship","Since You Been Gone  by Rainbow","5273030728856961245"
"General Mills","Honey Nut Cheerios","relationship","General Mills","3934043554400738867"
"Elizabeth Debicki","Ayesha","relationship","Elizabeth Debicki","-8797944210474421961"
"Elizabeth Debicki","Ayesha","relationship","Elizabeth Debicki","-2200251906687968932"
"Elizabeth Debicki","her role as Ayesha","relationship","Elizabeth Debicki","1140757383655934131"
"Elizabeth Debicki","Ayesha","relationship","Elizabeth Debicki","7875397649195424367"
"Rocket's creator","Rocket's creator","relationship","Rocket's creator","-2200251906687968932"
"Earth","Earth","relationship","Earth","-3128302500991834706"
"lives of Rocket and his fellow subject friends","lives of Rocket and his fellow subject friends","relationship","lives of Rocket and his fellow subject friends","8913454044067807346"
"Drax","Thanos","relationship","Drax","-8450426020257390091"
"Drax","Mantis","relationship","Drax","-7891846963742498977"
"Drax","Dave Bautista","relationship","Drax","-3583399141211814131"
"Drax","highly skilled warrior","relationship","Drax","-2200251906687968932"
"Drax","Guardians","relationship","Drax","1051457163903185543"
"Drax","Ronan the Accuser","relationship","Drax","4976926970439248611"
"Drax","Drax","relationship","Drax","-2200251906687968932"
"Dolby Theatre","Dolby Theatre","relationship","Dolby Theatre","-8904712200894705795"
"film would be released  a little after 2021","film would be released  a little after 2021","relationship","film would be released  a little after 2021","-3763534924201786867"
"Dog Days Are Over  by Florence and the Machine","Dog Days Are Over  by Florence and the Machine","relationship","Dog Days Are Over  by Florence and the Machine","-1342448241777725815"
"October","October","relationship","October","4435754899113868033"
"Disneyland Paris","Disneyland Paris","relationship","Disneyland Paris","6136581012815034436"
"Vol. 3 with Feige","Vol. 3 with Feige","relationship","Vol. 3 with Feige","2282978437782191919"
"Disney and Marvel Music","the music streaming service Spotify","relationship","Disney and Marvel Music","3282220358180560143"
"Production","to find a director","relationship","Production","-8693239930895899291"
"Disney and Marvel","move forward quickly","relationship","Disney and Marvel","-8416991127309715871"
"Disney and Marvel","Gunn","relationship","Disney and Marvel","3529551584198737155"
"Disney","fire Gunn","relationship","Disney","-7545973805747438450"
"Disney","to rehire James Gunn","relationship","Disney","3888620734757678668"
"Disney","Disney","relationship","Disney","-4368852197164242010"
"Disney","Disney","relationship","Disney","8394050383110420994"
"statement of support","statement of support","relationship","statement of support","5696663794156731277"
"Deadline Hollywood","the firing","relationship","Deadline Hollywood","5198294677919009854"
"Nebula","boarding to rescue Quill and Groot","relationship","Nebula","-8141898123752006359"
"Nebula","Adam","relationship","Nebula","-2691522933927237892"
"Nebula","Gamora's adoptive sister","relationship","Nebula","-2200251906687968932"
"Nebula","former Avenger","relationship","Nebula","-2200251906687968932"
"Nebula","Guardians","relationship","Nebula","1051457163903185543"
"Nebula","guards","relationship","Nebula","1831092963343690476"
"Nebula","Thanos","relationship","Nebula","8122468398025425057"
"Nebula","Nebula","relationship","Nebula","-2200251906687968932"
"Dave Bautista","Drax","relationship","Dave Bautista","-2200251906687968932"
"Dave Bautista","Dave Bautista","relationship","Dave Bautista","-3583399141211814131"
"Henry Braham","cinematographer","relationship","Henry Braham","6724689730893271636"
"Cynthia Blondelle and Heather Kreamer","2023 Guild of Music Supervisors Awards","relationship","Cynthia Blondelle and Heather Kreamer","-7177641452502271523"
"Counter-Earth","Counter-Earth","relationship","Counter-Earth","5123929743641457358"
"Cooper","Vol. 3","relationship","Cooper","-7398780682540118903"
"Chukwudi Iwuji","the film","relationship","Chukwudi Iwuji","-7785276915946777279"
"Chukwudi Iwuji","the High Evolutionary","relationship","Chukwudi Iwuji","-2200251906687968932"
"Chris Pratt","Peter Quill / Star-Lord","relationship","Chris Pratt","-2359832575237925031"
"a whole","a whole","relationship","a whole","-2181434939176417591"
"Thanos","Thanos","relationship","Thanos","-8450426020257390091"
"Thanos","Thanos","relationship","Thanos","-7587760144184526878"
"Thanos","Thanos","relationship","Thanos","8122468398025425057"
"Gamora and Rocket","Gamora and Rocket","relationship","Gamora and Rocket","-2454859045930853263"
"Charles Pulliam-Moore","the film's action sequences and storyline","relationship","Charles Pulliam-Moore","807807822724540300"
"Cast of Guardians of the Galaxy","a statement","relationship","Cast of Guardians of the Galaxy","4302577399963237419"
"Carson Burton","the film would be  shaping up to be an emotional ending","relationship","Carson Burton","-1160299165720193409"
"Callie Brand","the film","relationship","Callie Brand","2233611516416584334"
"an undisclosed role","an undisclosed role","relationship","an undisclosed role","8902349570502591894"
"COVID-19 pandemic would not affect production plans for the film","COVID-19 pandemic would not affect production plans for the film","relationship","COVID-19 pandemic would not affect production plans for the film","-3763534924201786867"
"a cameo appearance for Kumail Nanjiani","a cameo appearance for Kumail Nanjiani","relationship","a cameo appearance for Kumail Nanjiani","1499423215804574743"
"CBC","it was  the best Marvel movie in years","relationship","CBC","2483202927377345614"
"Bob Iger","unanimous decision","relationship","Bob Iger","556485308402867751"
"approach of cruelty to animals in the film","approach of cruelty to animals in the film","relationship","approach of cruelty to animals in the film","2531412161524703638"
"Beth Mickle","Gunn chose to mainly use practical effects for Vol. 3","relationship","Beth Mickle","-3763534924201786867"
"his background","his background","relationship","his background","520407492098511738"
"Cosmo","psionic abilities","relationship","Cosmo","-7106664617100321432"
"Cosmo","sapient dog","relationship","Cosmo","-2200251906687968932"
"Cosmo","outer space","relationship","Cosmo","-1030172037530794351"
"Cosmo","Guardians","relationship","Cosmo","4727830256399241917"
"Cosmo","Soviet Union","relationship","Cosmo","4951439973340139103"
"Cosmo","dog actor Slate","relationship","Cosmo","7307306680003087947"
"Cosmo","Cosmo","relationship","Cosmo","-8782798513675784212"
"Bautista","Guardians of the Galaxy films","relationship","Bautista","6854565732705313314"
"Bautista","he would return for the film","relationship","Bautista","7276213489393766698"
"Bautista","his contract","relationship","Bautista","8539019632058709904"
"Bakalova","Cosmo","relationship","Bakalova","-8782798513675784212"
"Ayesha","Guardians","relationship","Ayesha","2958289302964327686"
"Ayesha","Ayesha","relationship","Ayesha","-8797944210474421961"
"Ayesha","Ayesha","relationship","Ayesha","-2200251906687968932"
"Ayesha","Ayesha","relationship","Ayesha","7875397649195424367"
"Awesome Mix Vol. 3","April 2023","relationship","Awesome Mix Vol. 3","-4393805701632589513"
"Awesome Mix Vol. 3","Hollywood Records","relationship","Awesome Mix Vol. 3","5393670627185580414"
"a fourth Guardians film could happen","a fourth Guardians film could happen","relationship","a fourth Guardians film could happen","-3763534924201786867"
"Karen Gillan","Nebula","relationship","Karen Gillan","-2200251906687968932"
"Avengers: Infinity War and Avengers: Endgame","Avengers: Infinity War and Avengers: Endgame","relationship","Avengers: Infinity War and Avengers: Endgame","-7371789353705096193"
"Avengers: Infinity War","Avengers: Infinity War","relationship","Avengers: Infinity War","-6398259123215787415"
"improvised by Pratt","improvised by Pratt","relationship","improvised by Pratt","-2573292720337259746"
"Avengers: Endgame","Avengers: Endgame","relationship","Avengers: Endgame","-6398259123215787415"
"the dialogue","the dialogue","relationship","the dialogue","8129781868712979774"
"Matt Singer","the film for concluding Rocket's arc story","relationship","Matt Singer","807807822724540300"
"Don Giovanni","1787","relationship","Don Giovanni","7234239628407896742"
"Audiences","Guardians of the Galaxy Vol. 3 an average grade of  A","relationship","Audiences","-216058505033208721"
"Pom Klementieff","Mantis","relationship","Pom Klementieff","-2200251906687968932"
"Pom Klementieff","Mantis","relationship","Pom Klementieff","6589652455315064681"
"Pom Klementieff","her role as Mantis","relationship","Pom Klementieff","8197402824435376819"
"Gunn","The Villainess inspired one of the fight scenes in Vol. 3","relationship","Gunn","-8498743170864441250"
"Gunn","playing with it in little ways","relationship","Gunn","-8405144068881156727"
"Gunn","Kumail Nanjiani","relationship","Gunn","-6138708149769635667"
"Gunn","Peter Quill's story","relationship","Gunn","-5688029544194726938"
"Gunn","another Marvel movie","relationship","Gunn","-5592649284859483131"
"Gunn","new draft of the film's script","relationship","Gunn","-5366331788163621167"
"Gunn","script for Vol. 3 was finished","relationship","Gunn","-4999792123346840014"
"Gunn","Vol. 3","relationship","Gunn","-4070035449181372828"
"Gunn","COVID-19 pandemic would not affect production plans for the film","relationship","Gunn","-3763534924201786867"
"Gunn","Vol. 3 would take place after the events of Thor: Love and Thunder","relationship","Gunn","-3763534924201786867"
"Gunn","Yondu would not be resurrected in the film","relationship","Gunn","-3763534924201786867"
"Gunn","a fourth Guardians film could happen","relationship","Gunn","-3763534924201786867"
"Gunn","developed as a person","relationship","Gunn","-3763534924201786867"
"Gunn","dozens of roles had been cast","relationship","Gunn","-3763534924201786867"
"Gunn","film would be released  a little after 2021","relationship","Gunn","-3763534924201786867"
"Gunn","he has developed as a person","relationship","Gunn","-3763534924201786867"
"Gunn","the film would be emotional","relationship","Gunn","-3763534924201786867"
"Gunn","new projects","relationship","Gunn","-3576062629614339915"
"Gunn","actors for the role of Adam Warlock","relationship","Gunn","-1806896560253541861"
"Gunn","the storyline with the studio","relationship","Gunn","-1645952619935742323"
"Gunn","soundtrack was not limited to 1970s pop songs","relationship","Gunn","-1295707284811905903"
"Gunn","Rocket","relationship","Gunn","-1289138313987517980"
"Gunn","September 2019","relationship","Gunn","-679805388867942697"
"Gunn","female","relationship","Gunn","-480820256302437237"
"Gunn","filming the special","relationship","Gunn","-458913554638048535"
"Gunn","the third film","relationship","Gunn","308427091021888660"
"Gunn","male","relationship","Gunn","1070907530222987151"
"Gunn","a cameo appearance for Kumail Nanjiani","relationship","Gunn","1499423215804574743"
"Gunn","middle of another draft","relationship","Gunn","1500012394791939007"
"Gunn","the middle of another draft","relationship","Gunn","1500012394791939007"
"Gunn","script had  basically stayed the same","relationship","Gunn","1531974605049218034"
"Gunn","Marvel","relationship","Gunn","1828268946735562414"
"Gunn","cruelest MCU villain","relationship","Gunn","2925905370990586879"
"Gunn","after learning Nanjiani was cast as Kingo","relationship","Gunn","3179558961820992472"
"Gunn","somebody who was youthful","relationship","Gunn","3585494132696201839"
"Gunn","song  Russian Roulette  by the Lords of the New Church","relationship","Gunn","3855861069569427248"
"Gunn","this after learning Nanjiani was cast as Kingo","relationship","Gunn","4778556937440090079"
"Gunn","the character be resurrected","relationship","Gunn","4849870914253451586"
"Gunn","May 2021","relationship","Gunn","5670002084795549319"
"Gunn","spin-off television series from The Suicide Squad titled Peacemaker","relationship","Gunn","5805495093201573292"
"Gunn","first draft of screenplay by end of June","relationship","Gunn","5870702037342066257"
"Gunn","Horn","relationship","Gunn","5890020140232570083"
"Gunn","The Suicide Squad and Peacemaker","relationship","Gunn","6578553048104588796"
"Gunn","tell Rocket's origins in a team-up movie","relationship","Gunn","6614841782036595400"
"Gunn","Vol. 3 to be his last Guardians film","relationship","Gunn","6889727592530243203"
"Gunn","Vol. 3 in 2021","relationship","Gunn","8039227028095317608"
"Gunn","began meeting with actors for the role of Adam Warlock","relationship","Gunn","8156590832477642081"
"Gunn","Rocket's origins","relationship","Gunn","8272669733474340626"
"Gunn","Island of Lost Souls","relationship","Gunn","8475170177057705908"
"Gunn","High Evolutionary as the  cruelest MCU villain","relationship","Gunn","8498564794173705742"
"Gunn","footage was not released publicly","relationship","Gunn","9102253056064705046"
"Gunn","Gunn","relationship","Gunn","3529551584198737155"
"Asim Chaudhry","Teefs","relationship","Asim Chaudhry","-7022703336288118420"
"Asim Chaudhry","the film","relationship","Asim Chaudhry","-332159461774003546"
"Arête","a spaceship","relationship","Arête","483140503770638315"
"The Suicide Squad and Peacemaker","The Suicide Squad and Peacemaker","relationship","The Suicide Squad and Peacemaker","6578553048104588796"
"The Suicide Squad and Peacemaker","The Suicide Squad and Peacemaker","relationship","The Suicide Squad and Peacemaker","6578553048104588796"
"Drax and Mantis","Gamora and Rocket","relationship","Drax and Mantis","-2454859045930853263"
"April 2023","April 2023","relationship","April 2023","-4393805701632589513"
"April 2023","April 2023","relationship","April 2023","-679805388867942697"
"American superhero film","American superhero film","relationship","American superhero film","-2200251906687968932"
"The Marriage of Figaro","1786","relationship","The Marriage of Figaro","7234239628407896742"
"Sean","reprise his roles","relationship","Sean","2904973281013936169"
"Alan F. Horn","offensive attitudes and statements are indefensible","relationship","Alan F. Horn","9102253056064705046"
"Adam and the High Evolutionary's guard War Pig","Adam and the High Evolutionary's guard War Pig","relationship","Adam and the High Evolutionary's guard War Pig","2871852095371571248"
"new draft of the film's script","new draft of the film's script","relationship","new draft of the film's script","-5366331788163621167"
"he has developed as a person","he has developed as a person","relationship","he has developed as a person","-3763534924201786867"
"Adam Warlock","importance on the cosmic side of the MCU","relationship","Adam Warlock","-8482745688921817451"
"Adam Warlock","the cosmic side of the MCU","relationship","Adam Warlock","-4476495341705182043"
"Adam Warlock","powerful artificial being","relationship","Adam Warlock","-2200251906687968932"
"Adam Warlock","Adam Warlock","relationship","Adam Warlock","-5747480644704736231"
"Adam Warlock","Adam Warlock","relationship","Adam Warlock","-2200251906687968932"
"The High Evolutionary","Rocket's creator","relationship","The High Evolutionary","-2200251906687968932"
"Adam McKay","the studio","relationship","Adam McKay","-9041177609597715843"
"Adam McKay","the studio","relationship","Adam McKay","-8385169977444437858"
"Adam McKay","Vol. 3","relationship","Adam McKay","-5584777723540388379"
"Adam McKay","Vol. 3 with Feige","relationship","Adam McKay","2282978437782191919"
"the character be resurrected","the character be resurrected","relationship","the character be resurrected","4849870914253451586"
"sapient dog","sapient dog","relationship","sapient dog","-2200251906687968932"
"Adam","Rocket","relationship","Adam","4613412600223219493"
"Adam","Adam","relationship","Adam","-2691522933927237892"
"Adam","Adam","relationship","Adam","8063141223647143673"
"Guardians of the Galaxy (2014) and Guardians of the Galaxy Vol. 2 (2017)","Guardians of the Galaxy (2014) and Guardians of the Galaxy Vol. 2 (2017)","relationship","Guardians of the Galaxy (2014) and Guardians of the Galaxy Vol. 2 (2017)","8969287095640992178"
"32nd film in the Marvel Cinematic Universe","32nd film in the Marvel Cinematic Universe","relationship","32nd film in the Marvel Cinematic Universe","-2200251906687968932"
"film to be the best animal rights film of the year","film to be the best animal rights film of the year","relationship","film to be the best animal rights film of the year","-611893709623847589"
"2023 release date","2023 release date","relationship","2023 release date","-4889663057095868259"
"2023 Guild of Music Supervisors Awards","2023 Guild of Music Supervisors Awards","relationship","2023 Guild of Music Supervisors Awards","-7177641452502271523"
"the film would be  shaping up to be an emotional ending","the film would be  shaping up to be an emotional ending","relationship","the film would be  shaping up to be an emotional ending","-1160299165720193409"
"1787","1787","relationship","1787","7234239628407896742"
"Stephane Ceretti","the first film","relationship","Stephane Ceretti","1846897805811217850"
"1786","1786","relationship","1786","7234239628407896742"
"134.1 million views","134.1 million views","relationship","134.1 million views","-9214369632895535562"
"first MCU film to feature the word  fuck  uncensored","first MCU film to feature the word  fuck  uncensored","relationship","first MCU film to feature the word  fuck  uncensored","-2200251906687968932"
"$7–10 million","$7–10 million","relationship","$7–10 million","-6343239266968081942"
"$48.2 million on its first day","$48.2 million on its first day","relationship","$48.2 million on its first day","7897104218976094346"
"Fred Raskin","the first two films","relationship","Fred Raskin","1846897805811217850"
"$358.8 million in the United States and Canada","$358.8 million in the United States and Canada","relationship","$358.8 million in the United States and Canada","190043486570436025"
"The Suicide Squad (2021)","The Suicide Squad (2021)","relationship","The Suicide Squad (2021)","2395936633248325862"
"$32 million in its third weekend","$32 million in its third weekend","relationship","$32 million in its third weekend","7897104218976094346"
"former Avenger","former Avenger","relationship","former Avenger","-2200251906687968932"
"Variety","the firing","relationship","Variety","5198294677919009854"
"$168.1 million in its opening weekend outside the US and Canada","$168.1 million in its opening weekend outside the US and Canada","relationship","$168.1 million in its opening weekend outside the US and Canada","190043486570436025"
"Nathan Fillion","Master Karja","relationship","Nathan Fillion","-2200251906687968932"
"Nathan Fillion","Master Karja","relationship","Nathan Fillion","7875397649195424367"
"$168.1 million in its opening weekend","$168.1 million in its opening weekend","relationship","$168.1 million in its opening weekend","190043486570436025"
"$92 million in its second weekend outside the US and Canada","$92 million in its second weekend outside the US and Canada","relationship","$92 million in its second weekend outside the US and Canada","190043486570436025"
"$110 million","$110 million","relationship","$110 million","190043486570436025"
